path,sentence
844424930757976-661-f.m4a,जापा चेयरमैन के एकांत व्यक्तिगत सचिव और दल के नेता खालिद अख्तर पत्रकारों से
844424930841702-70-f.m4a,मास्टर्स परीक्षा के बाद 15 दिन तक ईबी के होस्टल में रह सकते हैं
844424930757897-661-f.m4a,नड़ाइल में विश्वविख्यात चित्रकार एसएम सुल्तान के 94वें जन्मजयंती पर समाधि पर पुष्पांजलि और चर्चा सभा
844424930757896-661-f.m4a,लंदन में रह रहे बीएनपी के कार्यकारी चेयरमैन तारिक रहमान की पत्नी डॉ
844424930757988-661-f.m4a,100 कंपनियों के सैनिक भेजकर कश्मीर में विकास का ढोल पीटा मोदी ने
844424930841716-70-f.m4a,सहायता की गुहार लगाते हुए ब्लड कैंसर से पीड़ित बियानीबाजार के अवामी लीग नेता अलीम की अपील
844424930757890-661-f.m4a,लेकिन समग्र वैश्विक और घरेलू परिस्थिति को देखते हुए दुख के साथ हमें इस साल आयोजन स्थगित करना पड़ा
844424930757898-661-f.m4a,यात्रा के कारण नकारात्मक भावनाओं से दूर रहने की बात करते हैं मिस्टर
844424930757909-661-f.m4a,बंदूकधारी गार्ड के बिना भोजन के ट्रक सड़क पर नहीं उतारे जा सकते
844424930841730-70-f.m4a,कैरी फिशर के रूप में प्रिंसेस लिया को शानदार मूवी स्टार वार्स में
844424930757977-661-f.m4a,गोपालपुर डिग्री कॉलेज में शिक्षक भर्ती सांसद समेत कमेटी के खिलाफ घूस व्यापार का आरोप
844424930841692-70-f.m4a,लेकिन सक्षम लोगों में से कई घर में समय खा-पीकर और मौज-मस्ती में बिता रहे हैं
844424930757899-661-f.m4a,सारदा समूह को एक चैनल बेचने के लिए मध्यस्थता करते हुए 9 करोड़ रुपये कमाए उन्होंने
844424930841694-70-f.m4a,डेढ़ साल के बच्चे को टब में बैठाकर सिर पर उठाए पुलिस अधिकारी ने तैरकर पार किया एक गहरा जल
844424930841749-70-f.m4a,बांग्लादेश के 9 पेज और 6 आईडी को फेसबुक ने बंद कर दिया
844424930757917-661-f.m4a,भीड़ संभालने में असमर्थ होकर सभी मार्केट बंद कर दिए गए
844424930841718-70-f.m4a,10 डॉक्टरों की टीम के मुख्य कार्यकारी अधिकारी के रूप में कार्य कर रहे हैं डॉ
844424930757914-661-f.m4a,टेक्नोक्रेट्स के साथ नई सरकार गठन का आह्वान किया लेबनान के राष्ट्रपति ने
844424930757903-661-f.m4a,लक्ष्मीपुर जिला राष्ट्रीय पार्टी के पूर्व अध्यक्ष प्रतिष्ठित उद्योगपति मो
844424930757941-661-f.m4a,मुग्दा अस्पताल में मरीज के परिजन और पत्रकार पर हमले की घटना में जांच समिति
844424930757962-661-f.m4a,शादी की सालगिरह पर पूर्व पति की तस्वीर शेयर कर खास संदेश श्रीलेखा का
844424930841699-70-f.m4a,गिरफ्तार छात्र लीग नेता तोफज्जल हुसैन पंच्छरी उपजिला उल्टाछरी यूनियन बंगाली गुच्छा ग्राम के अध्यक्ष मो
844424930841747-70-f.m4a,जिनेवा स्थित इस संगठन के एशिया-प्रशांत क्षेत्र में सदस्य बनने के लिए बांग्लादेश के अलावा
844424930757987-661-f.m4a,बाइजु बावरा फिल्म से रणवीर सिंह को हटाया निर्देशक ने
844424930757932-661-f.m4a,"बंगाल के दो पर्वतारोहियों को बचाने की कोशिश में जो समस्या आई, उसे निर्मल पुर्जा ने बताया"
844424930841745-70-f.m4a,नजरुल इस्लाम तालुकदार और जस्टिस के एम हाफिजुल आलम की हाईकोर्ट बेंच में एक रिपोर्ट
844424930841704-70-f.m4a,मृत 6 युवाओं के घर जाकर संवेदना जताई बियानीबाजार के जमीयत नेता
844424930757984-661-f.m4a,इस डिलीवरी में ऑपरेशन थिएटर में साथ थे नारायणगंज के डॉक्टर कमरुन्नाहर और उनके दो बेटे डॉ
844424930841748-70-f.m4a,चुनाव आयोग की निष्क्रियता और निष्पक्ष तरीके से वोट न कराने के विरोध में चुनाव आयुक्त सुनील
844424930841732-70-f.m4a,हाफिजुद्दीन खान और सचिव बदीउल आलम मजूमदार की ओर से डॉ
844424930757931-661-f.m4a,दुनिया के दूसरे सबसे बड़े कोरोना प्रभावित देश में गाड़ियों में ही 15 जोड़ों ने शादी कर ली
844424930757946-661-f.m4a,लक्ष्मी कर्मकार नाम की विकलांग किशोरी का घर चालसा रेलगेट के पास शिव मंदिर पाड़ा है
844424930757975-661-f.m4a,सांस लेने में समस्या के कारण अस्पताल में भर्ती हुईं सरोज खान
844424930757927-661-f.m4a,अमेरिका के बीच व्यापार गैर-अनुबंध और अनुबंध सीमित
844424930757947-661-f.m4a,स्वर्गीय आरएसपी के महासचिव क्षिति गोस्वामी का शव कोलकाता लाने की तैयारी
844424930757948-661-f.m4a,"दुनिया के जिन टीकों पर रिसर्च आगे बढ़ी है, उनमें ऑक्सफोर्ड यूनिवर्सिटी का टीका प्रमुख है"
844424930757944-661-f.m4a,इसी आदेश में टी बोर्ड में नए चेयरमैन के रूप में मेजर जनरल मो नियुक्त हुए
844424930757943-661-f.m4a,"आज 2,993 लोग अस्पताल से छुट्टी पाए"
844424930757908-661-f.m4a,इस साल पेड़ की जिम्मेदारी उनके पास थी। डाल टूटने पर उन्होंने राहुल को सजा दी
844424930757901-661-f.m4a,भारत के खिलाफ मैदान में उतरते ही दुर्लभ रिकॉर्ड बनाया रॉस टेलर ने
844424930757911-661-f.m4a,उस सेमिनार में मुख्य अतिथि के रूप में उपस्थित थे ग्रीस में नियुक्त बांग्लादेश के राजदूत मो
844424931309432-1116-f.m4a,सुशांत के रसोइए और दोस्त को साथ लेकर बांद्रा फ्लैट पहुंची सीबीआई
844424931185290-1116-f.m4a,इंस्टाग्राम पर एक वीडियो पोस्ट कर प्रशंसकों को शुभकामना दी मलाइका ने
844424931185293-1116-f.m4a,मां सोनी राजदान का भावुक नोट शेयर किया आलिया भट्ट ने
844424931309518-1116-f.m4a,जुल्फिकार सतखीरा के स्थानीय दैनिक आज का सतखीरा अखबार के बांशदहा यूनियन प्रतिनिधि और हवालखाली गांव के मो
844424931185280-1116-f.m4a,सूडान में इस वित्तीय वर्ष में रिकॉर्ड मात्रा में जूट उत्पादों का निर्यात हो रहा है
844424931382732-1116-f.m4a,फिलहाल विशेष ऑफर के तहत यह प्लान लेकर आया सरकारी
844424930757910-661-f.m4a,उत्तर नहीं मिला। पत्रकार सम्मेलन में कॉलेज छात्र संघ चुनाव के समय बाहरी समस्या की बात उठी
